name,image,year,href,version,origin
AUDI A1,,2013,,1.4 TFSI ATTRACTION 16V 122CV GASOLINA 2P AUTOMÁTICO,LOCALIZA
AUDI A1,,2013,,1.4 TFSI ATTRACTION 16V 122CV GASOLINA 4P AUTOMÁTICO,LOCALIZA
AUDI A1,,2013,,1.4 TFSI SPORT 16V 185CV GASOLINA 2P AUTOMÁTICO,LOCALIZA
AUDI A1,,2013,,1.4 TFSI SPORTBACK ATTRACTION 16V 122CV GASOLINA 4P S-TRONIC,LOCALIZA
AUDI A3,,2016,,1.4 TFSI SEDAN AMBIENTE 16V FLEX 4P TIPTRONIC,LOCALIZA
AUDI A3,,2016,,1.4 TFSI SEDAN AMBIENTE 16V GASOLINA 4P S-TRONIC,LOCALIZA
AUDI A3,,2016,,1.4 TFSI SEDAN ATTRACTION 16V FLEX 4P TIPTRONIC,LOCALIZA
AUDI A3,,2016,,1.4 TFSI SEDAN ATTRACTION 16V GASOLINA 4P S-TRONIC,LOCALIZA
AUDI A3,,2016,,1.4 TFSI SPORTBACK AMBIENTE 16V GASOLINA 4P S-TRONIC,LOCALIZA
BMW 118i,,2013,,1.6 FULL 16V TURBO GASOLINA 4P AUTOMÁTICO,LOCALIZA
BMW 118i,,2013,,1.6 SPORT GP 16V TURBO GASOLINA 4P AUTOMÁTICO,LOCALIZA
BMW 118i,,2013,,1.6 URBAN LINE 16V TURBO GASOLINA 4P AUTOMÁTICO,LOCALIZA
BMW 118i,,2012,,1.6 SPORT GP 16V TURBO GASOLINA 4P AUTOMÁTICO,LOCALIZA
BMW 118i,,2012,,1.6 URBAN LINE 16V TURBO GASOLINA 4P AUTOMÁTICO,LOCALIZA
BMW 118i,,2012,,1.6 URBAN LINE 16V TURBO GASOLINA 4P AUTOMÁTICO,LOCALIZA
BMW 118i,,2012,,1.8 UE71 16V GASOLINA 4P AUTOMÁTICO,LOCALIZA
BMW 118i,,2012,,2.0 SPORT EDITION 16V GASOLINA 2P AUTOMÁTICO,LOCALIZA
BMW 118i,,2012,,2.0 TOP HATCH 16V GASOLINA 4P AUTOMÁTICO,LOCALIZA
BMW 118i,,2012,,2.0 UE71 16V GASOLINA 4P AUTOMÁTICO,LOCALIZA
BMW X3,,2015,,2.0 20I 4X4 16V GASOLINA 4P AUTOMÁTICO,LOCALIZA
BMW X3,,2015,,2.0 20I X LINE 4X4 16V GASOLINA 4P AUTOMÁTICO,LOCALIZA
BMW X3,,2015,,3.0 35I M SPORT 4X4 24V GASOLINA 4P AUTOMÁTICO,LOCALIZA
CHEVROLET ASTRA,,2011,,2.0 MPFI ADVANTAGE 8V FLEX 4P AUTOMÁTICO,LOCALIZA
CHEVROLET ASTRA,,2011,,2.0 MPFI ADVANTAGE 8V FLEX 4P MANUAL,LOCALIZA
CHEVROLET ASTRA,,2011,,2.0 MPFI ADVANTAGE SEDAN 8V FLEX 4P AUTOMÁTICO1.0 EVO FLEX LIKE. MANUAL,LOCALIZA
CHEVROLET ASTRA,,2011,,2.0 MPFI ADVANTAGE SEDAN 8V FLEX 4P MANUAL,LOCALIZA
CHEVROLET CELTA,,2012,,1.0 MPFI LS 8V FLEX 2P MANUAL,LOCALIZA
CHEVROLET CELTA,,2012,,1.0 MPFI LS 8V FLEX 4P MANUAL,LOCALIZA
CHEVROLET CELTA,,2012,,1.0 MPFI LT 8V FLEX 4P MANUAL,LOCALIZA
